company,job_title,company_rating,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
Magic Infomedia,Data Analyst,,Delhi,0,Unknown,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
The Stakeholder Company Pte. Ltd.,Customer Solutions Engineer - Data,4,Mumbai,393700,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.7,3.4,4.3,4,3.8
Ford Motor Company,Data Engineer-HTHD,4,Chennai,759088,/yr (est.),10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Transportation Equipment Manufacturing,$10+ billion (USD),3.7,3.9,3.9,3.4,3.9
Visa,Data Scientist,4.1,Bengaluru,324000,/yr (est.),10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),3.8,4,4.1,3.7,4
Globussoft Technologies,Data Science,4.4,India,360000,/yr (est.),201 to 500 Employees,2009,Company - Private,Computer Hardware Development,Computer Hardware Development,$5 to $25 million (USD),4.5,4,4.1,4.2,4.1
Infosys,Big Data Developer,3.8,Bengaluru,443530,/yr (est.),10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),3.8,3,4,3.5,3.7
Empower,Sr Analyst Data Science,3.9,Bengaluru,394308,/yr (est.),10000+ Employees,1907,Company - Private,Investment & Asset Management,Investment & Asset Management,$2 to $5 billion (USD),3.9,3.6,3.9,3.6,4
Google,"Director, Data and Analytics",4.4,Bengaluru,0,Unknown,10000+ Employees,1998,Company - Public,Internet & Web Services,Internet & Web Services,$10+ billion (USD),4.2,4.5,4.3,3.9,4.2
Zebra Technologies,"Data Scientist, II",4.1,Bengaluru,720134,/yr (est.),5001 to 10000 Employees,1969,Company - Public,Computer Hardware Development,Computer Hardware Development,$2 to $5 billion (USD),3.8,3.8,4.1,3.8,4
UST,Associate II - Data Analysis,4,Bengaluru,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
ZS Associates,Advanced Data Science Associate,3.7,Gurgaon,624732,/yr (est.),10000+ Employees,1983,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,3.9,4,3.9,3.5,2.4
Myntra.com,Senior Manager - Data Analyst,4,Bengaluru,742967,/yr (est.),1001 to 5000 Employees,2007,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,3.8,3.7,4,3.5,3.5
Thoucentric,NLP Data Scientist,4.1,Bengaluru,875186,/yr (est.),201 to 500 Employees,2015,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,3.8,3.5,4.5,4.1,4
UBS,Reporting & Metrics Data Analyst,3.9,Pune,806241,/yr (est.),10000+ Employees,1862,Company - Public,Investment & Asset Management,Investment & Asset Management,$10+ billion (USD),3.6,3.5,3.9,3.5,3.8
StockX,Data Engineer,3.6,Bengaluru,364505,/yr (est.),1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,3.3,3.6,3.6,3.1,3.4
S&P Global,Carbon Markets Data Analyst,4.1,Gurgaon,578496,/yr (est.),10000+ Employees,1860,Company - Public,Research & Development,Research & Development,$10+ billion (USD),3.8,3.8,4.2,3.8,4.2
Kmart,Associate Data Engineer,3.4,India,0,Unknown,10000+ Employees,1899,Subsidiary or Business Segment,General Merchandise & Superstores,General Merchandise & Superstores,$5 to $10 billion (USD),3,2.9,3.2,3,3.3
Innovaccer,Apprentice - Data Engineer,3.4,Noida,949526,/yr (est.),1001 to 5000 Employees,2014,Company - Private,Healthcare Services & Hospitals,Healthcare Services & Hospitals,$25 to $50 million (USD),3.6,3.6,3.4,3.2,3.1
PineBridge Investments,Data Scientist /Quantitative Equity Researcher_2,3.8,Mumbai,987787,/yr (est.),501 to 1000 Employees,2010,Company - Private,Investment & Asset Management,Investment & Asset Management,$100 to $500 million (USD),3.7,3.2,3.8,3.8,4.3
Tata Technologies,ALM Users - Data Mining,3.8,Bengaluru,789523,/yr (est.),10000+ Employees,1989,Company - Private,Research & Development,Research & Development,$100 to $500 million (USD),3.6,3.4,3.8,3.4,3.8
S&P Global,Data Transformation Analyst I,4.1,Gurgaon,578496,/yr (est.),10000+ Employees,1860,Company - Public,Research & Development,Research & Development,$10+ billion (USD),3.8,3.8,4.2,3.8,4.2
TVS Motor,Data Engineer II,3.9,India,0,Unknown,1001 to 5000 Employees,1978,Company - Public,Transportation Equipment Manufacturing,Transportation Equipment Manufacturing,$100 to $500 million (USD),3.8,3.8,3.8,3.4,3.3
Diverse Infotech,Data Science Analytics,,Gurgaon,536656,/yr (est.),1 to 50 Employees,2008,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4,3.8,3.8,3.9,3.6
Dentsu Aegis Network,Data management Intern,3.6,Bengaluru,0,Unknown,5001 to 10000 Employees,Unknown,Company - Public,Advertising & Public Relations,Advertising & Public Relations,Unknown / Non-Applicable,3.4,3.2,3.7,3.4,3.5
Phygital Insights,Data Scientist,,Bengaluru,579655,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.4,4.6,4.5,4.6,4.5
UST,Associate II - Data Science,4,Bengaluru,425000,/yr (est.),10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,3.8,3.5,4,3.7,4
Wesco,India-Bangalore: Data Scientist,3.7,Bengaluru,698711,/yr (est.),10000+ Employees,1922,Company - Public,Wholesale,Wholesale,$10+ billion (USD),3.5,3.4,3.6,3.3,3.8
Microsoft,Data Engineer II,4.2,Noida,828415,/yr (est.),10000+ Employees,1975,Company - Public,Computer Hardware Development,Computer Hardware Development,$10+ billion (USD),4,4.1,4.2,3.8,4.1
Epsilon,Data Scientist 2,4.2,Bengaluru,987421,/yr (est.),5001 to 10000 Employees,1969,Subsidiary or Business Segment,Advertising & Public Relations,Advertising & Public Relations,$2 to $5 billion (USD),3.9,3.8,4.2,3.8,4.1
Infineon Technologies,Product Management Internship: Data Analysis,4.2,Bengaluru,0,Unknown,10000+ Employees,1999,Company - Public,Electronics Manufacturing,Electronics Manufacturing,$10+ billion (USD),3.9,3.8,4.1,3.7,4.2
Tata Consultancy Services,GCP Data Engineer,3.8,Hyderābād,516307,/yr (est.),10000+ Employees,1968,Company - Public,Software Development,Software Development,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Agilite Global Solutions Company,Data QA/ETL Tester,4.7,India,0,Unknown,51 to 200 Employees,2019,Company - Private,Information Technology Support Services,Information Technology Support Services,$5 to $25 million (USD),4.5,4.3,4.3,4.4,4.3
TechnoServe Inc.,Data Analyst Associate - PMA,4.1,Mumbai,522673,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Grantmaking & Charitable Foundations,Grantmaking & Charitable Foundations,Unknown / Non-Applicable,4.1,3.6,4.3,4.1,4
Legalwiz,Data Analyst,4.2,India,0,Unknown,1 to 50 Employees,2015,Company - Private,Legal,Legal,$10+ billion (USD),4.5,3.9,4.6,4.5,4.6
Magna International Inc.,Data Scientist,3.8,Bengaluru,810555,/yr (est.),10000+ Employees,1957,Company - Public,Transportation Equipment Manufacturing,Transportation Equipment Manufacturing,$10+ billion (USD),3.7,3.7,3.5,3.3,3.2
RDAlabs,Data Analyst,,Remote,0,Unknown,51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.1,4.4,4.2,4,4.1
Motorola Solutions,IT Business Analyst 2024 Internship,4.1,Bengaluru,0,Unknown,10000+ Employees,1928,Company - Public,Software Development,Software Development,$5 to $10 billion (USD),3.9,3.8,4.1,3.8,4
Enel,Data Management Analyst - Night Shift,4,Mumbai,259037,/yr (est.),10000+ Employees,1962,Company - Private,Energy & Utilities,Energy & Utilities,$10+ billion (USD),3.4,3.7,3.9,3.4,3.8
BNP Paribas,Associate Level 1 / Associate - Referential Data,3.8,Mumbai,0,Unknown,10000+ Employees,2000,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),3.5,3.4,3.7,3.4,3.8
Retransform,Data Scientist,4.1,Mumbai,144000,/yr (est.),201 to 500 Employees,1998,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,4,3.4,4,4.1,4
MRI Software,Data Analyst (Database Management),3.6,Bengaluru,583095,/yr (est.),1001 to 5000 Employees,1971,Company - Private,Computer Hardware Development,Computer Hardware Development,$100 to $500 million (USD),3.6,3.4,3.8,3.4,3.9
Blue Yonder,"Data Engineer (Python, SQL, Query Optimization, DBMS)",4.1,Bengaluru,742170,/yr (est.),5001 to 10000 Employees,1985,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,$2 to $5 billion (USD),3.9,3.9,4.2,3.7,4
Aptus Data LAbs,Data Scientist,4.1,Bengaluru,820000,/yr (est.),51 to 200 Employees,2014,Company - Private,Information Technology Support Services,Information Technology Support Services,$5 to $25 million (USD),4.1,3.8,3.8,3.8,4.2
Facile Services,Data Research Trainee,3.9,Pune,327977,/yr (est.),201 to 500 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.8,3.6,3.7,3.5,3.5
LodgIQ,Data Scientist,,India,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.6,4.9,4.1,4,4.3
Oswaalbooks,DATA Interpretation & Logical Reasoning - Proofreader - CAT Level,4.4,India,0,Unknown,51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.4,4.2,4.5,4.4,4.3
Tax Genie,Data Analyst(BI),3.3,Mumbai,220661,/yr (est.),51 to 200 Employees,2017,Company - Private,Information Technology Support Services,Information Technology Support Services,$1 to $5 million (USD),3.9,3.4,3.9,3.7,3.7
Pratt & Whitney,Data Visualization Developer,3.8,Bengaluru,0,Unknown,10000+ Employees,1925,Subsidiary or Business Segment,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD),3.7,3.6,3.5,3.2,3.5
Yamaha Motor Solutions India Pvt.Ltd.,Data Scientist,4.1,Farīdābād,526300,/yr (est.),1001 to 5000 Employees,1955,Company - Public,Transportation Equipment Manufacturing,Transportation Equipment Manufacturing,$10+ billion (USD),3.7,3.9,3.9,3.6,3.6
Tata Consultancy Services,MS SQL Developer,3.8,Delhi,0,Unknown,10000+ Employees,1968,Company - Public,Software Development,Software Development,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
ADCI - Haryana,"Data Associate I (Italian), ML Data Ops",3.7,Gurgaon,314223,/yr (est.),10000+ Employees,1994,Company - Public,Internet & Web Services,Internet & Web Services,$10+ billion (USD),3.7,3.8,3.6,3.3,3.2
FrugalTesting,Data Entry Operator,4.8,Hyderābād,185903,/yr (est.),51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology Support Services,$1 to $5 million (USD),4.8,4.6,4.8,4.8,4.7
Rishi FIBC Solutions,Data Analysis,3.1,Vadodara,497861,/yr (est.),501 to 1000 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.1,2.8,2.9,3.1,2.8
Linxon,Data Analyst - HSE,4.3,Chennai,387298,/yr (est.),501 to 1000 Employees,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,4.2,4.1,4,4.1,3.9
JPMorgan Chase & Co,Client Data Management and Data Quality Remediation - Operations Analyst,4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
DecisionDatabases.com,Data Management Executive,4.5,India,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
The/Nudge,"Data Analyst, MoSJE",,Delhi,0,Unknown,1 to 50 Employees,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,,,,,
DataEconomy,Data Scientist,4.7,Hyderābād,572423,/yr (est.),201 to 500 Employees,2018,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.7,3.9,4.5,4.7,3.9
United Airlines,Analyst - Data Scientist,3.9,Gurgaon,110000,/yr (est.),10000+ Employees,1926,Company - Public,"Airlines, Airports & Air Transportation","Airlines, Airports & Air Transportation",$10+ billion (USD),3.9,3.8,3.6,3.2,3.4
CandidRoot Solutions,Web Data Researcher (0 to 2 Years),,Ahmedabad,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.8,3.8,4.6,3.8,4.4
EIE Instruments,Data Analyst,3.9,Ahmedabad,17500,/mo (est.),51 to 200 Employees,Unknown,Company - Private,Machinery Manufacturing,Machinery Manufacturing,Unknown / Non-Applicable,3.2,3.9,3.3,3.2,3.8
Maruti Suzuki India Ltd,Data Analyst - R&D,3.9,Bengaluru,824049,/yr (est.),10000+ Employees,Unknown,Company - Public,Transportation Equipment Manufacturing,Transportation Equipment Manufacturing,$10+ billion (USD),3.7,4,3.4,3.3,3.1
Tata Consultancy Services,"Big data- Pyspark, Hive",3.8,Chennai,432461,/yr (est.),10000+ Employees,1968,Company - Public,Software Development,Software Development,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Veniso Solutions,Data Scientist,,Hyderābād,424264,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4,3.6,4.3,4.3,4.7
Optimum Data Analytics,Data Scientist,,Pune,651920,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4,4,4,4,4
NovoTree Minds Consulting,Data Analyst,5,Bengaluru,612372,/yr (est.),1 to 50 Employees,2010,Company - Private,HR Consulting,HR Consulting,Unknown / Non-Applicable,5,4.9,4.9,4.9,5
Sandvik,Data Entry Operator,4.2,Udaipur,415692,/yr (est.),10000+ Employees,1862,Company - Public,Machinery Manufacturing,Machinery Manufacturing,$10+ billion (USD),3.8,3.9,4,3.5,3.9
"Medpace, Inc.",Data Coordinator - Core Laboratory,3.4,Thāne,589237,/yr (est.),5001 to 10000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),3.3,3,3.2,3,3.2
Tokopedia,Data Scientist - TopAds,4.3,Noida,270000,/yr (est.),5001 to 10000 Employees,2009,Company - Public,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,3.9,3.9,4.4,3.8,4
AXA,Assistant Scientist- Data Engineering,4,Bengaluru,798123,/yr (est.),10000+ Employees,1985,Company - Private,Insurance Carriers,Insurance Carriers,$10+ billion (USD),3.6,3.6,3.9,3.5,3.9
Tata Elxsi,Data Science Engineers,4.1,Bengaluru,718666,/yr (est.),10000+ Employees,1989,Company - Public,Information Technology Support Services,Information Technology Support Services,$100 to $500 million (USD),4.1,3.4,4.2,3.7,4
Dyuti Technologies,Data Entry Operator,3.3,Bengaluru,158291,/yr (est.),Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,2,2,2,1.5,2
Barclays,VP Op Risk Rep & Data Analytics,4,Delhi,0,Unknown,10000+ Employees,1690,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),3.8,3.9,4,3.5,3.9
Zycus,Data Analyst,3.4,Mumbai,469042,/yr (est.),1001 to 5000 Employees,1998,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,$25 to $50 million (USD),3.4,2.9,3.1,2.9,3
Petpooja,Data Scientist,4.5,Ahmedabad,269039,/yr (est.),501 to 1000 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Unknown / Non-Applicable,4.3,4,4.4,4.2,4.2
DAZN,Data Service Analyst,2.8,Hyderābād,227684,/yr (est.),1001 to 5000 Employees,2015,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,2.7,2.9,2.6,2.3,3.1
RARR Technologies Pvt Ltd,Data Governance Admin,4.7,Remote,2600000,/yr (est.),1 to 50 Employees,2018,Company - Private,Software Development,Software Development,Less than $1 million (USD),4.7,4.5,4.9,4.9,4.8
PayU,Data Scientist,3.7,Bengaluru,606842,/yr (est.),1001 to 5000 Employees,2002,Company - Private,Internet & Web Services,Internet & Web Services,$10+ billion (USD),3.6,3.6,3.6,3.4,3.6
Algoscale,Data Scientist,4,Noida,692820,/yr (est.),51 to 200 Employees,2014,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,3.9,3.5,3.9,3.9,4
G7 Teleservices,Data Entry Operator,,Bengaluru,158291,/yr (est.),201 to 500 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.9,3.4,2.8,3.9,2.8
JPMorgan Chase & Co,Data Governance - Analyst,4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Xitadel,Data Science,3.9,Bengaluru,483915,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,$5 to $25 million (USD),3.8,3.1,3.6,3.5,3.7
Retransform,Web Research/ Data Entry Operator,4.1,Mumbai,226941,/yr (est.),201 to 500 Employees,1998,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,4,3.4,4,4.1,4
APA Engineering,Data Analyst,,Chennai,387298,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Architectural & Engineering Services,Architectural & Engineering Services,Less than $1 million (USD),3.2,3.1,3.3,3,3.2
NISC Export Services,Data Mapping,3.6,Hyderābād,0,Unknown,201 to 500 Employees,Unknown,Company - Private,Computer Hardware Development,Computer Hardware Development,Unknown / Non-Applicable,3,3.1,3.1,3.4,3.8
Harjai Computers,Data Analyst - HCPL3303,4.4,India,0,Unknown,501 to 1000 Employees,1995,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Unknown / Non-Applicable,4.3,4.1,4.1,4.2,4.1
Uplers,Business Data Analyst | QA - WFH,4.2,Remote,159500,/mo (est.),501 to 1000 Employees,2012,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4,3.9,4.3,3.9,4.2
Zehntech,Data Engineer,3.1,Indore,384758,/yr (est.),201 to 500 Employees,2013,Company - Private,Software Development,Software Development,$1 to $5 million (USD),3.1,3.2,3.4,2.9,2.8
Transaction Network Services,Data Scientist,3.4,Noida,474342,/yr (est.),501 to 1000 Employees,Unknown,Company - Private,Information Technology Support Services,Information Technology Support Services,$100 to $500 million (USD),3.2,3.3,3.3,2.9,3.4
CloudAge Global Services,Data Scientists/ML Engineers,,Pune,529150,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.7,4.6,4.9,4.8,5
JPMorgan Chase & Co,Client Reporting – Data Feeds - Operations Analyst,4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Retisio,Junior Data Engineer,,Bengaluru,567450,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Wesco,India-Bangalore: Analyst - Data Governance,3.7,Bengaluru,836660,/yr (est.),10000+ Employees,1922,Company - Public,Wholesale,Wholesale,$10+ billion (USD),3.5,3.4,3.6,3.3,3.8
Zapcom Group,Data Analyst,3.8,India,0,Unknown,51 to 200 Employees,2014,Company - Private,Information Technology Support Services,Information Technology Support Services,$5 to $25 million (USD),3.9,3.9,3.6,3.7,3.7
Zazz,Data Scientist,,Hyderābād,1500000,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Energy Exemplar,Data Engineer,4.4,Pune,797931,/yr (est.),201 to 500 Employees,1999,Company - Private,Energy & Utilities,Energy & Utilities,Unknown / Non-Applicable,4.3,4.1,4.5,4.3,4.5
Data PlatformExperts,Azure Data Engineer,,Remote,1000000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Acies Global,Data Engineer - SSIS,4.6,Chennai,950000,/yr (est.),51 to 200 Employees,2019,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.3
Recruise,1700_ Data and Market Research Analyst,4.6,Bengaluru,313623,/yr (est.),51 to 200 Employees,2006,Company - Private,HR Consulting,HR Consulting,Unknown / Non-Applicable,4.6,4.1,4.7,4.6,4.5
Mazenet Solution,Talend Data Integration/ETL Specialist,4.2,India,650000,/yr (est.),51 to 200 Employees,2001,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,3.9,3.7,3.8,3.8,3.8
Shortjobs India,Data Scientist,,Bengaluru,800000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
JP infotech,Big Data Engineer,3.9,Remote,1700000,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,5,4.2,4.7,4.2,4.2
RD Digital Solutions,Senior Data Engineer,4.3,Remote,3500000,/yr (est.),1 to 50 Employees,Unknown,Company - Public,Unknown,Unknown,$1 to $5 million (USD),4.1,3.5,4.1,3.5,4.4
Shreejan Associates,Data Creation Specialist,4,Bengaluru,480000,/yr (est.),Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,4,4,4,4,4
EY,Data Analyst,3.8,Hyderābād,1750000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Global Employees,Azure Data Engineer,,Remote,1250000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Xplor,Power Bi - Data-warehouse Administrator,3.4,Pune,611726,/yr (est.),1001 to 5000 Employees,1994,Company - Private,Software Development,Software Development,Unknown / Non-Applicable,3.2,3.4,3.2,2.8,3.6
Fiddler AI,"SDET - (Data Science, AI/ML background)",,Bengaluru,371806,/yr (est.),51 to 200 Employees,2018,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,$1 to $5 million (USD),4.7,4.2,4.7,4.3,4.4
Anion Healthcare BPO,Data Analyst,4.2,India,0,Unknown,1 to 50 Employees,1999,Company - Private,Computer Hardware Development,Computer Hardware Development,Unknown / Non-Applicable,4.1,4.1,4.1,4.2,3.9
"Mohr Partners, Inc.",Research Analyst,3.7,Remote,0,Unknown,51 to 200 Employees,1986,Company - Private,Real Estate,Real Estate,$5 to $25 million (USD),3.2,3.4,3.2,3.3,3.2
Future Link Consultants,Data Modeler/Data Analyst,4.5,Gurgaon,1750000,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.1,3.6,3.8,3.9,3.7
Expressare Technologies Pvt Ltd,Data Quality Analyst,,Thiruvananthapuram,200000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
1myPOS Information Technology,SQL Developer,,Remote,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Cheri angel HR Consulting,Junior Data Scientist,,Remote,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
iDataLytics,Internship in Data science,,Eranakulam,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Wisdom college for creativity & design,Data Science Trainee,,Ghaziabad,17500,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Forbes Advisor,Data Research Analyst,3.6,Mumbai,417490,/yr (est.),201 to 500 Employees,1917,Company - Private,Publishing,Publishing,Unknown / Non-Applicable,3.2,3.2,3.4,3.4,3.7
Servilint Technologies,Data Scientist,,Mumbai,1025000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Razor Group GmbH,Data Engineer,3.1,Gurgaon,587678,/yr (est.),501 to 1000 Employees,2020,Company - Private,Other Retail Shops,Other Retail Shops,$100 to $500 million (USD),3.3,3.2,2.8,2.8,2.9
"SmarTek21, LLC",Data Engineer,3.6,Remote,0,Unknown,501 to 1000 Employees,2006,Company - Private,Computer Hardware Development,Computer Hardware Development,$25 to $50 million (USD),3.2,3.3,3.1,3,3.4
Pinnacle Employment,Data Engineer,,Gurgaon,3000000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
High Fly Dream,Computer & Data Entry Executive,,Delhi,23000,/mo (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Xperthunt Systems,Data Engineer,,Bengaluru,1434611,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Konexions Back Office Services Pvt Ltd,Data Analyst,,Gurgaon,270000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
CapB InfoteK,Remote nCode GlyphWorks enginnering Test Data Analyst,1,Bengaluru,619793,/yr (est.),Unknown,Unknown,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,1,1,1,1,1
Ziniosedge,Data Engineer,,India,0,Unknown,51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.6,3.4,4,3.5,3.7
GraspCorn Software Solution Pvt. Ltd.,Data Analyst,,India,40000,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Idexcel,Data Engineer,4.3,Pune,816866,/yr (est.),501 to 1000 Employees,1998,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.2,3.6,3.9,4.1,4.1
Excelr Solutions,Data Analyst Trainer,3.8,Hyderābād,750000,/yr (est.),1 to 50 Employees,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,4,4.1,3.8,3.9,3.8
Ebizon,EbizON|| Data Scientist || Dehradun,4.3,India,0,Unknown,51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.4,4,4.1,4,4.2
Exusia,IBM Infosphere Data Quality Lead / Senior Developers,4,Remote,2180762,/yr (est.),201 to 500 Employees,2012,Company - Private,Information Technology Support Services,Information Technology Support Services,$25 to $50 million (USD),4.1,4.1,4.1,4.1,4.1
Arroyo Consulting,Data Security Specialist,,Remote,108321,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
orchid furnishings llp,Data Analyst,,Pune,30000,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Ericson Insurance TPA Pvt Ltd,Hiring Data Analytical,,India,37500,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Oracuz InfoTech Pvt Ltd.,Data Science Intern,,India,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Alphanet,Data Science Engineer / Sr Data Science Engineer,4.6,Remote,0,Unknown,201 to 500 Employees,2001,Company - Private,Information Technology Support Services,Information Technology Support Services,$25 to $50 million (USD),4.5,4.3,4.4,4.5,4.5
Varite India Pvt Ltd,Data Quality Analyst,,Remote,365105,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
CGI,Big Data Engineer,3.8,Bengaluru,642067,/yr (est.),10000+ Employees,1976,Company - Public,Business Consulting,Business Consulting,$10+ billion (USD),3.7,3.3,3.9,3.6,3.9
